Cell No.,Nucleus location (X),Nucleus location (Y),Nucleus perimeter,ALD1AH1,KCNT2,HIGD1B,ALD1AH2,PDGFRB,CLDN5,CCL19,DCN,KCNJ8,VEGFC,IL1R1,TAGLN,MFSD2A,RARA,TMEM132C,ACKR1,RGS16,MECOM
271,1445,452531,389.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
272,522,450592,542.8,4,5,0,5,20,0,1,25,0,1,17,0,0,1,2,0,0,0
273,1350,449585,483.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
274,3869,451932,202.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
275,467,448943,326.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,2321,450943,397.8,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0
277,3027,448554,339.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,1250,448647,414.9,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,0
279,354,450927,539.6,0,7,1,0,23,26,0,8,10,4,0,5,0,1,0,0,5,3
280,3336,449512,391.0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,1,0,1
